,id,name,dev,publisher,genre,language,tags,category,release,actual_price,discount,old_userscore,metascore,owners,followers
146,/app/751820,Black Future '88,"['Good Shepherd Entertainment', 'SUPERSCARYSNAKES', 'Surefire.Games']",['Good Shepherd Entertainment'],"['Action', 'Adventure']","['English', 'French', 'German', 'Russian', 'Simplified Chinese']","['Action', 'Action Roguelike', 'Rogue-lite', 'Adventure', 'Co-op', 'Cyberpunk', '1980s', 'Local Co-Op', 'Pixel Graphics', 'Platformer', 'Indie', 'Side Scroller', 'Great Soundtrack', 'Rogue-like', '2D', 'Sci-fi', 'Difficult']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Remote Play Together']","['Nov 21, 2019']",['$3.99'],['80%'],['75%'],['74%'],"['20,000 - 50,000']","['10,514']"
147,/app/809880,Degrees of Separation,"['Moondrop', 'Modus Games']",['Modus Games'],"['Adventure', 'Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Norwegian', 'Portuguese - Brazil']","['Local Co-Op', 'Puzzle-Platformer', '2D Platformer', 'Story Rich', 'Co-op', 'Puzzle', 'Side Scroller', 'Online Co-Op', 'Platformer', 'Difficult', 'Atmospheric', 'Romance', 'Colorful', 'Hand-drawn', '2D', 'Relaxing', 'Action-Adventure', 'Magic', 'Music', 'Family Friendly']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","['Feb 14, 2019']",['$1.99'],['90%'],['87%'],['74%'],"['20,000 - 50,000']","['4,295']"
148,/app/914020,Gibbous -  A Cthulhu Adventure,['Stuck In Attic'],['Stuck In Attic'],"['Adventure', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Hungarian', 'Romanian', 'Russian', 'Arabic', 'Korean', 'Simplified Chinese', 'Japanese', 'Polish', 'Portuguese - Brazil']","['Point & Click', 'Adventure', 'Puzzle', 'Comedy', 'Funny', 'Singleplayer', 'Hand-drawn', 'Story Rich', 'Lovecraftian', 'Indie', 'Retro', 'Steampunk', 'Cats', 'Noir', 'Sci-fi', 'Fantasy', 'Cartoon', 'Visual Novel', 'Gothic', 'Family Friendly']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Aug 7, 2019']",['$2.99'],['85%'],['90%'],['74%'],"['50,000 - 100,000']","['11,694']"
149,/app/792300,The Beast Inside,['Illusion Ray'],['Illusion Ray'],"['Action', 'Adventure', 'Indie']","['English', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Portuguese - Brazil', 'Simplified Chinese', 'Turkish', 'French']","['Horror', 'Adventure', 'Action', 'Survival Horror', 'Multiplayer', 'First-Person', 'Indie', 'Survival', 'Story Rich', 'Singleplayer', 'Psychological Horror', 'Violent', 'Gore', 'Atmospheric', 'Walking Simulator', 'Exploration', 'Open World', 'Realistic', 'Great Soundtrack', 'Quick-Time Events']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Oct 17, 2019']",['$2.49'],['90%'],['83%'],['74%'],"['200,000 - 500,000']","['33,047']"
150,/app/572890,Pikuniku,"['Rémi Forcadell', 'Arnaud De Bock', 'Alan Zucconi', 'Devolver Digital', 'Calum Bowen']",['Devolver Digital'],"['Action', 'Adventure', 'Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Japanese', 'Portuguese - Brazil', 'Russian']","['Indie', 'Adventure', 'Casual', 'Action', 'Cute', 'Funny', 'Co-op', 'Puzzle', 'Platformer', '2D', 'Multiplayer', 'Family Friendly', 'Great Soundtrack', 'Comedy', 'Local Co-Op', 'Colorful', 'Singleplayer', 'Puzzle-Platformer', 'Dystopian ', 'Exploration']","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","['Jan 24, 2019']",['$3.24'],['75%'],['95%'],['74%'],"['500,000 - 1,000,000']","['10,665']"
151,/app/1089350,NBA 2K20,"['2K', 'Visual Concepts']",['2K'],"['Simulation', 'Sports']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['Basketball', 'Sports', 'Simulation', 'Multiplayer', 'Singleplayer', 'Capitalism', 'Loot', 'Casual', 'Local Multiplayer', 'Massively Multiplayer', 'Character Customization', 'Controller', 'Realistic']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play']","['Sep 6, 2019']",[],[],['50%'],['74%'],"['5,000,000 - 10,000,000']","['58,684']"
152,/app/1064310,A Place for the Unwilling,['ALPixel Games'],['ALPixel Games'],"['Adventure', 'Indie']","['English', 'Spanish - Spain']","['Indie', 'Adventure', 'Choices Matter', 'Lovecraftian', 'Story Rich', 'Dark Fantasy', 'Exploration', 'Atmospheric', 'Singleplayer', 'Mystery', 'Text-Based', 'Great Soundtrack', 'Simulation', 'Narrative']","['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Jul 25, 2019']",['$5.09'],['66%'],['73%'],['73%'],"['0 - 20,000']","['1,703']"
153,/app/909670,Skybolt Zack,"['DEVS MUST DIE', 'Green Man Gaming Publishing']",['Green Man Gaming Publishing'],"['Action', 'Adventure', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil']","['Side Scroller', 'Platformer', 'Runner', 'Rhythm', 'Difficult', 'Fast-Paced', 'Retro', 'Arcade', 'Action-Adventure', 'Action', 'Anime', 'Colorful', 'Score Attack', 'Time Attack', '2D', 'Robots', 'Singleplayer', 'Controller', 'Soundtrack', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Nov 7, 2019']",['$3.99'],['75%'],['94%'],['73%'],"['0 - 20,000']",['836']
154,/app/1099500,The Curious Tale of the Stolen Pets,['Fast Travel Games'],['Fast Travel Games'],"['Adventure', 'Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America']","['Adventure', 'Casual', 'Indie', 'Puzzle', 'VR', 'VR Only']","['Single-player', 'Steam Achievements']","['Nov 14, 2019']",['$3.99'],['60%'],['91%'],['73%'],"['0 - 20,000']","['1,465']"
155,/app/872750,Guard Duty,"['Digital Tribe', 'Headware Games']",['Digital Tribe'],"['Adventure', 'Indie']","['English', 'French', 'German', 'Spanish - Spain']","['Adventure', 'Indie', 'Pixel Graphics', 'Point & Click', 'Surreal', 'Colorful', 'Fantasy', 'Crowdfunded', 'Relaxing', 'Sci-fi', 'Kickstarter', 'Story Rich', 'Medieval', 'Singleplayer', 'Demons', '2D', '2.5D', 'Atmospheric', 'Retro', 'Stylized']","['Single-player', 'Steam Achievements']","['May 2, 2019']",['$2.49'],['75%'],['90%'],['73%'],"['0 - 20,000']","['2,159']"
156,/app/963450,The Eternal Castle [REMASTERED],"['Leonard Menchiari', 'Playsaurus', 'Giulio Perrone', 'Daniele Vicinanzo']",['Playsaurus'],"['Action', 'Adventure', 'Indie']",['English'],"['Atmospheric', 'Action-Adventure', 'Cinematic', 'Surreal', 'Post-apocalyptic', 'Horror', 'Cyberpunk', 'Action', 'Dark Fantasy', '1980s', 'Old School', 'Sci-fi', 'Survival', 'Combat', 'Futuristic', 'Multiple Endings', 'Retro', 'Difficult', 'Remake', 'Pixel Graphics']","['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards', 'Remote Play Together']","['Jan 5, 2019']",['$5.99'],['40%'],['88%'],['73%'],"['50,000 - 100,000']","['4,267']"
